generation,fitness
1066,5048576
1067,5048576
1068,5046871
1069,5046765
1070,5044047.5
1071,5043756.5
1072,5037840
1073,5035807
1074,5035807
1075,5033810
1076,5033810
1077,5031323.5
1078,5026181
1079,5024308
1080,5021973
1081,5018951.5
1082,5018951.5
1083,5015190
1084,5013892
1085,5008464
1086,5008464
1087,5008305
1088,5007069
1089,5007069
1090,5003811
1091,5002965.5
1092,4996597
1093,4996597
1094,4996597
1095,4995078
1096,4993614
1097,4992571
1098,4991615
1099,4991148
1100,4989766
1101,4988407
1102,4985654
1103,4982386
1104,4978345.5
1105,4978345.5
1106,4977552.5
1107,4977552.5
1108,4974245.5
1109,4973116
1110,4968914
1111,4968914
1112,4963680.5
1113,4963680.5
1114,4963044
1115,4963044
1116,4963044
1117,4959095
1118,4959095
1119,4955377
1120,4954098.5
1121,4954098.5
1122,4954098.5
1123,4951075
1124,4947465
1125,4947465
1126,4943983.5
1127,4943940.5
1128,4941604
1129,4941604
1130,4940258.5
1131,4940193
1132,4937192
1133,4937192
1134,4935351
1135,4933158
1136,4930007
1137,4926936.5
1138,4926936.5
1139,4926936.5
1140,4925167
1141,4923108
1142,4921323
1143,4920542.5
1144,4917658
1145,4917658
1146,4915803
1147,4914966
1148,4912568
1149,4909600
1150,4909315
1151,4904252
1152,4904252
1153,4901149.5
1154,4899845
1155,4898509
1156,4898153
1157,4898153
1158,4898153
1159,4893816
1160,4893816
1161,4889625
1162,4889625
1163,4886156.5
1164,4884370
1165,4884370
1166,4883263
1167,4880551
1168,4876942
1169,4876942
1170,4876220
1171,4875409
1172,4872301.5
1173,4872301.5
1174,4872301.5
1175,4870288.5
1176,4868208
1177,4868208
1178,4868208
1179,4864404
1180,4863712.5
1181,4862917
1182,4861362
1183,4856997
1184,4856997
1185,4856238
1186,4852601
1187,4852601
1188,4852350
1189,4851950
1190,4850271
1191,4847846
1192,4847325
1193,4846580.5
1194,4845503
1195,4845503
1196,4842660
1197,4839751.5
1198,4839159.5
1199,4838190
1200,4838015
1201,4836483.5
1202,4832281
1203,4832281
1204,4832281
1205,4831853
1206,4831065
1207,4828113
1208,4827617
1209,4824170
1210,4825555
1211,4824159.5
1212,4824099
1213,4820348
1214,4820348
1215,4818248
1216,4818248
1217,4817971
1218,4815438
1219,4813776
1220,4809615
1221,4805421
1222,4805421
1223,4805421
1224,4803651
1225,4802956
1226,4802956
1227,4801989
1228,4801559.5
1229,4799671
1230,4798766
1231,4796030
1232,4795887.5
1233,4793711
1234,4793320
1235,4792202.5
1236,4789024
1237,4788865.5
1238,4787848
1239,4785076
1240,4783913
1241,4783913
1242,4783913
1243,4782372
1244,4781170
1245,4779459.5
1246,4778950.5
1247,4777942
1248,4775153.5
1249,4775153.5
1250,4775153.5
1251,4773013.5
1252,4770471
1253,4770114.5
1254,4770114.5
1255,4769582
1256,4768430
1257,4765606
1258,4765606
1259,4762190
1260,4762190
1261,4761405
1262,4759116
1263,4758567.5
1264,4756120.5
1265,4756120.5
1266,4754224
1267,4753861
1268,4751684
1269,4750955.5
1270,4749749
1271,4748879
1272,4747616.5
1273,4746939
1274,4746046.5
1275,4745758
1276,4744930
1277,4741701
1278,4741701
1279,4740765
1280,4740765
1281,4740281
1282,4739688.5
1283,4738905
1284,4736886.5
1285,4736467
1286,4736110
1287,4736110
1288,4734106.5
1289,4732840.5
1290,4730871
1291,4730871
1292,4730871
1293,4729187
1294,4727575
1295,4727241.5
1296,4724306
1297,4724306
1298,4724306
1299,4722577.5
1300,4722577.5
1301,4722083
1302,4721902.5
1303,4721080
1304,4720120
1305,4719000
1306,4719000
1307,4717358
1308,4717299
1309,4716520
1310,4714645
1311,4714645
1312,4712480.5
1313,4711781
1314,4710490
1315,4708856
1316,4708856
1317,4708856
1318,4708351
1319,4705857
1320,4705857
1321,4705745
1322,4702903.5
1323,4702903.5
1324,4703631
1325,4701722.5
1326,4699800
1327,4699800
1328,4698369.5
1329,4698369.5
1330,4698369.5
1331,4697772
1332,4696867.5
1333,4696721.5
1334,4695114
1335,4695114
1336,4693645
1337,4693985
1338,4693983
1339,4692398
1340,4691256
1341,4690002
1342,4689994
1343,4688022
1344,4688022
1345,4686535
1346,4685822
1347,4684717
1348,4684358
1349,4683644
1350,4683195
1351,4680359
1352,4680214
1353,4680214
1354,4679229.5
1355,4679229.5
1356,4676905
1357,4676905
1358,4675188
1359,4675188
1360,4675132
1361,4672621
1362,4672105.5
1363,4672105.5
1364,4671854.5
1365,4670378.5
1366,4670378.5
1367,4667991
1368,4667404
1369,4667404
1370,4667174
1371,4665231
1372,4664522
