time,P,G(i),H_sun,T2m,WS10m,Int
20190111:0910,131.21,162.99,23.65,0.0,0.0,0.0
20190111:1010,625.95,746.5,28.17,0.0,0.0,0.0
20190111:1110,505.92,593.52,29.67,0.0,0.0,0.0
20190111:1210,539.61,635.17,27.94,0.0,0.0,0.0
20190111:1310,143.64,176.8,23.22,0.0,0.0,0.0
20190111:1410,86.54,113.26,16.11,0.0,0.0,0.0
20190111:1510,25.94,43.28,7.23,0.0,0.0,0.0
20190111:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190111:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190111:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190111:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190111:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190111:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190112:0710,33.52,52.49,7.98,0.0,0.0,0.0
20190112:0810,73.41,98.53,16.77,0.0,0.0,0.0
20190112:0910,83.25,109.58,23.76,0.0,0.0,0.0
20190112:1010,145.63,178.79,28.31,0.0,0.0,0.0
20190112:1110,183.92,221.08,29.84,0.0,0.0,0.0
20190112:1210,547.53,645.37,28.12,0.0,0.0,0.0
20190112:1310,108.01,137.2,23.41,0.0,0.0,0.0
20190112:1410,93.95,121.55,16.29,0.0,0.0,0.0
20190112:1510,23.71,40.52,7.41,0.0,0.0,0.0
20190112:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190112:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190112:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190112:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190112:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190112:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190113:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190113:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190113:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190113:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190113:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190113:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190113:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190113:0710,21.51,37.75,8.04,0.0,0.0,0.0
20190113:0810,48.39,69.98,16.85,0.0,0.0,0.0
20190113:0910,147.79,181.4,23.87,0.0,0.0,0.0
20190113:1010,564.71,666.89,28.45,0.0,0.0,0.0
20190113:1110,629.08,750.9,30.0,0.0,0.0,0.0
20190113:1210,193.47,231.39,28.3,0.0,0.0,0.0
20190113:1310,117.12,147.33,23.59,0.0,0.0,0.0
20190113:1410,92.3,119.71,16.48,0.0,0.0,0.0
20190113:1510,1.2,8.29,7.59,0.0,0.0,0.0
20190113:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190113:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190113:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190113:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190113:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190113:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190113:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190113:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190114:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190114:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190114:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190114:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190114:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190114:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190114:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190114:0710,32.75,51.57,8.11,0.0,0.0,0.0
20190114:0810,94.78,122.47,16.95,0.0,0.0,0.0
20190114:0910,102.22,130.76,24.0,0.0,0.0,0.0
20190114:1010,88.64,115.61,28.6,0.0,0.0,0.0
20190114:1110,64.87,88.86,30.18,0.0,0.0,0.0
20190114:1210,49.01,70.7,28.49,0.0,0.0,0.0
20190114:1310,59.6,82.88,23.79,0.0,0.0,0.0
20190114:1410,57.99,81.03,16.67,0.0,0.0,0.0
20190114:1510,1.2,8.29,7.78,0.0,0.0,0.0
20190114:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190114:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190114:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190114:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190114:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190114:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190114:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190114:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190115:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190115:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190115:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190115:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190115:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190115:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190115:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190115:0710,27.44,45.12,8.18,0.0,0.0,0.0
20190115:0810,39.71,59.85,17.05,0.0,0.0,0.0
20190115:0910,42.85,63.54,24.12,0.0,0.0,0.0
20190115:1010,691.7,835.15,28.76,0.0,0.0,0.0
20190115:1110,719.53,874.14,30.36,0.0,0.0,0.0
20190115:1210,708.08,857.32,28.68,0.0,0.0,0.0
20190115:1310,42.85,63.54,23.98,0.0,0.0,0.0
20190115:1410,41.28,61.7,16.86,0.0,0.0,0.0
20190115:1510,15.79,30.39,7.96,0.0,0.0,0.0
20190115:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190115:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190115:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190115:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190115:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190115:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190115:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190115:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190116:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190116:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190116:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190116:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190116:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190116:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190116:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190116:0710,20.78,36.83,8.27,0.0,0.0,0.0
20190116:0810,38.16,58.01,17.15,0.0,0.0,0.0
20190116:0910,43.64,64.46,24.26,0.0,0.0,0.0
20190116:1010,697.47,842.76,28.92,0.0,0.0,0.0
20190116:1110,726.37,883.41,30.54,0.0,0.0,0.0
20190116:1210,700.5,846.78,28.88,0.0,0.0,0.0
20190116:1310,50.77,72.75,24.19,0.0,0.0,0.0
20190116:1410,38.16,58.01,17.06,0.0,0.0,0.0
20190116:1510,16.49,31.31,8.15,0.0,0.0,0.0
20190116:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190116:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190116:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190116:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190116:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190116:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190116:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190116:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190117:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190117:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190117:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190117:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190117:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190117:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190117:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190117:0710,22.24,38.68,8.35,0.0,0.0,0.0
20190117:0810,41.28,61.7,17.27,0.0,0.0,0.0
20190117:0910,51.57,73.67,24.4,0.0,0.0,0.0
20190117:1010,683.24,823.0,29.09,0.0,0.0,0.0
20190117:1110,600.87,714.19,30.74,0.0,0.0,0.0
20190117:1210,535.38,629.96,29.09,0.0,0.0,0.0
20190117:1310,139.5,172.2,24.4,0.0,0.0,0.0
20190117:1410,86.54,113.26,17.26,0.0,0.0,0.0
20190117:1510,31.98,50.65,8.35,0.0,0.0,0.0
20190117:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190117:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190117:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190117:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190117:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190117:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190117:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190117:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190118:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190118:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190118:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190118:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190118:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190118:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190118:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190118:0710,35.83,55.25,8.45,0.0,0.0,0.0
20190118:0810,76.69,102.21,17.38,0.0,0.0,0.0
20190118:0910,73.41,98.53,24.55,0.0,0.0,0.0
20190118:1010,663.64,796.59,29.27,0.0,0.0,0.0
20190118:1110,667.41,802.38,30.94,0.0,0.0,0.0
20190118:1210,607.75,722.65,29.3,0.0,0.0,0.0
20190118:1310,78.32,104.05,24.61,0.0,0.0,0.0
20190118:1410,50.77,72.75,17.47,0.0,0.0,0.0
20190118:1510,20.06,35.91,8.55,0.0,0.0,0.0
20190118:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190118:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190118:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190118:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190118:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190118:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190118:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190118:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190119:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190119:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190119:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190119:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190119:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190119:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190119:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190119:0710,22.97,39.6,8.55,0.0,0.0,0.0
20190119:0810,46.8,68.14,17.51,0.0,0.0,0.0
